Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Rating,Sypnosis
Ghost Slayers Ayashi,6.92,"Supernatural,Demons,Historical",TV,25,"Aniplex, Mainichi Broadcasting System",Bones,Original,23 min. per ep.,R - 17+ (violence & profanity),"In the year of Tenpo 14, Yoi, monsters from another world attack Edo. Those who fight against them are members of Bansha Aratemesho. In public, Bansha Aratemsho is known as an organization to study foreign books. In fact, they are a organization dedicated to destroying the Yoi. These warriors are called Ayakashi. They gather information of odd events in the country, and are sent to destroy Yoi who appear. They are generally very strange people. For example, a guy who has lost his memory, a girl who dresses like a man. They have special powers with which to beat the Yoi. (Source: AniDB)"
Lagrange:The Flower of Rin-ne,6.92,"Action,Sci-Fi,Comedy,Mecha",TV,12,"Production I.G, Bandai Visual, Yomiuri Telecasting, flying DOG, Dwango",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,"adoka Kyouno is an energetic girl who is full of passion. As the proud, and only, member of the Kamogawa Girls' High School Jersey Club, she goes around helping people in need. Madoka's life is turned upside down when she is suddenly asked by a mysterious girl named Lan to pilot a robot. Motivated by her desire to protect the people and city of Kamogawa, Madoka agrees to pilot the resurrected Vox robot to fight against extraterrestrials that have come to attack Earth. (Source: VIZ Media)"
Ninja Nonsense,6.92,"Comedy,Parody,Martial Arts",TV,12,"Toshiba Entertainment, Happinet Pictures",ufotable,Manga,24 min. per ep.,R - 17+ (violence & profanity),"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties! In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas!"
Oh! My Goddess:The Adventures of Mini-Goddess,6.92,"Comedy,Magic,Supernatural",TV,48,Bandai Visual,OLM,4-koma manga,7 min. per ep.,G - All Ages,"large collection consisting of the adventures of the Goddesses featured in the anime and manga series Ah My Goddess. Parodies of other works, and a large number of jokes pervade this series of shorts in which the Goddesses torture and hang out with their friend Gan the rat."
Pokemon 4Ever,6.92,"Adventure,Comedy,Kids,Drama,Fantasy",Movie,1,Studio Jack,OLM,Game,1 hr. 19 min.,PG - Children,"40 years ago, a Celebi was being attacked by a Pokemon Hunter. Luckily, a young boy named Sammy saved Celebi. Using its Time Traveling power, Celebi transported himself and Sammy 40 years into the future. There, Ash, Misty, and Brock assist Sammy to the healing lake in the forest so they can heal the wounded Celebi. Unfortunately an evil Team Rocket member, Viscious a.k.a. ""The Iron Masked Marauder"", tries to capture Celebi using his technology. As Ash and Co. try to get away from Viscious, they also run into Jessie, James, and Meowth, who also want to capture Celebi. Soon it becomes a race against time to get Celebi and Sammy back to the forest before Celebi is caught and is used to destroy the forest and themselves. (Source: ANN)"
Samurai Deeper Kyo,6.92,"Adventure,Comedy,Historical,Supernatural,Samurai,Shounen",TV,26,Starchild Records,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"In the year 1600, at the fog-covered battlefield of Sekigahara, a fierce battle was waged by two exemplary swordsmen. One was Kyoushirou Mibu, a skilled and noble warrior in possession of the unique powers of the Mibu Clan. The other was the thousand-man slayer, with eyes and hair the color of blood, ""Demon Eyes"" Kyou. Their legendary clash was cut short when a meteor from the heavens fell down upon that battlefield, leaving both to vanish in its wake. Samurai Deeper Kyou begins four years after that battle, when a gun-wielding bounty hunter by the name of Yuya Shiina hunts down Kyoushirou—now a perverted, traveling medicine-man who has built up a large debt. On her way to claim his bounty, they are attacked by an inhuman monster that seeks to devour Kyoushirou. This encounter awakens ""Demon Eyes"" Kyou, whose mind has been trapped inside of Kyoushirou's body ever since that fateful battle. Thus begins a grand tale of legendary two swordsmen and the discovery of their secrets."
"Actually, I am...",6.91,"Comedy,Supernatural,Romance,Vampire,Fantasy,School,Shounen",TV,13,"TV Tokyo, Sotsu, MediaNet, Pony Canyon, AT-X, DAX Production, Asmik Ace, Akita Shoten, TMS Music","TMS Entertainment, 3xCube",Manga,23 min. per ep.,PG-13 - Teens 13 or older,"One day after school, Asahi Kuromine stumbles upon the truth that Youko Shiragami, the girl he has a crush on, is actually a vampire. According to her father's rules, Youko must now quit school in order to keep her family safe. However, Asahi does not want her to go and promises that he will keep her true nature secret. Unfortunately, this turns out to be easier said than done, as Asahi is a man who is easy to read and is unable to keep any secrets to himself. And this is the only the beginning of his troubles—more supernatural beings enter his life, and he is forced to protect all of their identities or face the consequences. Jitsu wa Watashi wa follows Asahi as he deals with his new friends and the unique challenges they bring, struggles to keep his mouth shut, and desperately tries to win Youko's heart in the process."
CLAMP School Detectives,6.91,"Action,Mystery,Comedy,Shoujo",TV,26,Bandai Visual,Studio Pierrot,Manga,24 min. per ep.,G - All Ages,"The CLAMP school, with its integrated curriculum from kindergarten to post-graduate studies, was founded by the largest of Japanese business empires, the House of Imonoyama. Funded entirely out of its own deep pockets, it was hoped that the school would be a haven for young men and women on whose shoulders our future would rest. The School is open to any talented individual, irrespective of his or her lineage or financial standing and is known to count scores of singularly talented pupils. It is furthermore also famous for its harboring of a remarkable percentage of party animals. Not even the bright and talented minds of CLAMP School can keep the campus free of crimes and mysteries. Or can they? Join Nokoru, Suoh and Akira, our case-cracking kid detectives, as they save the day and even the odd damsel in distress! (Source: Bandai Entertainment)"
Lunar Legend Tsukihime,6.91,"Action,Horror,Mystery,Romance,Super Power,Supernatural,Vampire",TV,12,"TBS, Rondo Robe, Movic",J.C.Staff,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),"Shiki Toono sustained a life threatening injury as a child, and due to that incident he was sent away from the Toono household and was given to a relative to be raised. Years later, when Shiki is in high school, the head of the Toono household—his father—dies, and he is ordered to move back in by his sister Akiha, who is the new head of the household. However, Shiki holds a huge secret. Ever since that injury, he has been seeing lines on objects, and only with a special pair of glasses is he able to stop seeing them. Also he is unable to remember anything well from the time before his accident. The day he moves back to the Toono household is the day he stumbles upon a woman named Arcueid Brunstud and decapitates her with one stab of his knife in a temporary fit of insanity. When she suddenly showed up beside him later alive and well, and ask him to be her bodyguard, Shiki's journey to unravel the mysteries of his past begins. (Source: ANN)"
Prince of Stride:Alternative,6.91,"Sports,Drama,School",TV,12,Media Factory,Madhouse,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,"""Stride""—an extreme sport that combines parkour, free running, relay, and sprinting—is what made first year high school student Nana Sakurai enroll in Honan Academy, after being captivated by the school's stride team. Sharing the mutual intention of joining the team is fellow first year and stride maniac, Takeru Fujiwara, and together they request to join. Much to their dismay, however, the stride club is no longer active due to lack of members, and they are now operating under the shogi club. In order to revive the stride club, Nana and Takeru recruit first year Riku Yagami—a fast runner who is interested in almost every sport. With this new team, the club now aims high at a new goal: to win the prestigious End of Summer competition, and bring the Honan stride team back to their prime."
Samurai Flamenco,6.91,"Action,Comedy,Parody,Super Power",TV,22,"Aniplex, Dentsu, Movic, Fuji TV, Kyoraku Industrial Holdings, DeNA",Manglobe,Original,23 min. per ep.,R - 17+ (violence & profanity),"""A hero will never give up, never hide, never be defeated and never accept evil!"" Firmly believing these words, Masayoshi Hazama has been obsessed with superhero shows since childhood. By day, he earns his living as a famous model, and by night, he becomes the gallant hero Samurai Flamenco. Armed with only his superhero costume, he seeks to bring justice to the city and faces anybody who tries to break the law—even rebellious juveniles and people who litter on the street. Masayoshi's heroic antics later catch the attention of the public, leading to the fateful discovery of his identity by policeman Hidenori Gotou. Although initially telling Masayoshi to leave the crime-busting activities to the police, Gotou ends up joining him in his antics. However, things soon escalate from preventing littering and petty thefts to bizarre adventures that involve even the fate of the world. Together with their newfound comrades, Masayoshi and Gotou embark on a battle with the world and themselves in order to find the true meaning of being a hero—with or without superpowers."
SHOW BY ROCK!! Mashumairesh!!,6.91,"Music,Comedy",TV,12,"Dentsu, Sotsu, Pony Canyon, Sanrio, KlockWorx, Polygon Pictures, 81 Produce, Tokyo MX, Hokkaido Cultural Broadcasting, Sammy, FuRyu, Sony Music Solutions",Kinema Citrus,Game,23 min. per ep.,PG-13 - Teens 13 or older,New Show by Rock!! TV Series featuring the new band Mashumairesh!!.
Battle Athletes Victory,6.9,"Action,Sci-Fi,Adventure,Comedy,Sports,Drama,School,Shounen",TV,26,"TV Tokyo, Genco, Pioneer LDC",AIC,Original,22 min. per ep.,PG - Children,"kari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes. (Source: ANN)"
Dragon Warrior,6.9,"Action,Adventure,Fantasy,Shounen",TV,43,Nihon Ad Systems,Studio Comet,Game,24 min. per ep.,G - All Ages,"Dragon Quest is loosely based on Dragon Quest III. The names and some of the characters are familar, but the world map is smaller and a very different shape. The two main characters are Abel and Tialah. Tialah receives the legendary Red Stone from the Aliahan Village sage Master Yogi. Soon after, Tialah is kidnapped by the evil Baramos who wants to use the Red Stone to resurrect The Great Dragon and be granted eternal life. Abel swore to rescue Tialah and he is given the Blue Stone, which can only seal the Dragon once it has been released. (Source: AniDB)"
Locodol,6.9,"Slice of Life,Comedy,Seinen",TV,12,"TBS, DAX Production, Nippon Columbia, Overlap, Fuji Creative, Ichijinsha",feel.,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,"In the town of Nagarekawa, Nanako Usami, an ordinary high school girl, is approached by her uncle to become a local idol or ""Locodol,"" partnering with upperclassman Yukari Kohinata to form the idol unit, Nagarekawa Girls. As the girls use their talent to promote Nagarekawa and their businesses, they are joined by Yui Mikoze, who acts as the local mascot, and Mirai Nazukari, who serves as Yui's substitute. (Source: Wikipedia)"
Uchitama?! Have you seen my Tama?,6.9,Slice of Life,TV,11,"Aniplex, Dentsu, Fuji TV, Sony Creative Products","MAPPA, Lapin Track",Original,23 min. per ep.,PG-13 - Teens 13 or older,"In a city somewhere in Japan, there’s a flyer often seen on Third Street with a picture of a cat with a kinked tail, bearing the words: “Have you seen Tama?” A young boy gazes at the flyer, but he has fluffy ears on his head…!? Watch the dogs and cats from Third Street take on a human form and get up to some mischief. (Source: Official Site)"
Ultimate Muscle,6.9,"Action,Sci-Fi,Comedy,Sports,Martial Arts,Shounen",TV,51,"TV Tokyo, Yomiuri Advertising",Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Kinnikuman II Sei takes place several years after the events of the original Kinnikuman . Mantarou Kinniku is the 59th prince of Planet Kinniku and son of the renowned wrestler, King Suguru. Lazy, immature, and cowardly, Mantarou seems to have little in common with his heroic father. When a powerful group calling themselves the dMP threatens the Earth, only someone as powerful as Kinnikuman stands a chance against them. Not knowing the current whereabouts of the King, a plan is formed to have his son Mantarou take up the mantle. The idea of fighting super villains does not sit well with Mantarou, who initially runs away from his duty. He flees to Earth where he encounters Meat, his father’s old trainer. Despite Mantarou's shortcomings, Meat sees King Suguru in him, and believes he can set the prince on the right path. Thus begins Mantarou's journey to better himself and save the world."
Ultimate Otaku Teacher,6.9,"Comedy,Romance,School,Shounen",TV,24,"Yomiuri Telecasting, Shogakukan",A-1 Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Junichirou Kagami is a young published physicist, a genius, and a hopeless otaku. At the mercy of YD, a self-diagnosed illness which causes him to only be able to do what he ""Yearns to Do,"" Junichirou foregoes his scientific career to maintain and improve his anime blog. However, when he gets hired as a high school physics teacher; his sister Suzune, no longer willing to tolerate his NEET lifestyle, forces him to take the position. Despite the fact that Junichirou has no motivation to teach the standard curriculum, he may still have something of value to teach his students outside of academics. With his class in tow, Junichirou embarks on an unlikely journey filled with life lessons such as acceptance of others, how to make lasting friends, and what it means to live a better life by doing what you yearn to do."
Wakaba Girl,6.9,"Comedy,School,Slice of Life",TV,13,"Showgate, NBCUniversal Entertainment Japan",Nexus,4-koma manga,7 min. per ep.,PG-13 - Teens 13 or older,"akaba Kohashi, a sheltered rich girl, dreams of becoming a fashionable and trendy gyaru because she admires their outgoing and carefree nature. With this goal in mind, Wakaba begins the school year hoping to make her high school debut as a gyaru. On the first day of class, she meets the pure Moeko Tokita, the serious Nao Mashiba, and the eccentric Mao Kurokawa, and the four of them quickly become friends as they learn about and imitate each other's lifestyles. Wakaba*Girl follows the adventures of these four friends while they experience events like school festivals, waterpark trips, and gym class tests. Along the way, Wakaba discovers what it is like to live as a regular student while Nao, Moeka, and Mao catch a glimpse into the life of a rich family. With never a dull moment in their lives, the four girls make sure to live each day to the fullest."
Devil Survivor 2 The Animation,6.89,"Action,Demons,Supernatural",TV,13,"Mainichi Broadcasting System, Pony Canyon, Showgate, Index",Bridge,Game,24 min. per ep.,R - 17+ (violence & profanity),"The countdown to extinction begins on Sunday with the arrival of the Septentriones, otherworldly invaders set on the eradication of mankind. Caught in the crossfire, Hibiki Kuze and his friends join in the war for humanity's survival by signing contracts with demons to become ""Devil Summoners."" Soon, their abilities attract the attention of JP's, an underground agency led by Yamato Houtsuin. Once recruited into JP's, Hibiki and his friends fight and bond alongside other ordinary citizens who are Devil Summoners. However, with each new day, another Septentrione appears to wreak havoc upon Japan. Even if many lives are lost in the process, before that night ends, the young summoners must defeat the invaders at all costs."
Myriad Colors Phantom World,6.89,"Action,Comedy,Fantasy,Slice of Life,Supernatural",TV,13,"Lantis, Pony Canyon, Asahi Broadcasting",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,"Phantoms: supernatural entities such as ghosts or youkai that, until recently, were thought to be superstition. However, when a virus that infects the brain spreads throughout society, people's perception of the world changes as the mythical beings are revealed to have been living alongside humanity the entire time. This virus has also affected those of the next generation significantly, allowing them to develop special abilities that they can use to fight against dangerous phantoms. Haruhiko Ichijou and Mai Kawakami are two of those that were granted such power as Haruhiko wields the ability to summon and seal phantoms through drawings while Mai imbues the power of the elements into martial arts. Together, along with the friendly phantom Ruru, they form Team E of Hosea Academy which is dedicated to dealing with these often mischievous beings. In a world where the real and surreal intertwine, Musaigen no Phantom World follows the adventures of a group of friends as they handle the everyday troubles caused by phantoms."
No Guns Life,6.89,"Action,Sci-Fi,Drama,Seinen",TV,12,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"The technology to create powerful cyborg soldiers has been released for public use by the Berühren Corporation. Those outfitted with robotic parts are known as the Extended. Juuzou Inui, one such Extended, was created as a soldier and has no memories of his former life. But now, after the war, he runs a business that takes care of Extended-related incidents around the city. Rumors of a renegade Extended that kidnapped a child reach his ears; lo and behold, as Juuzo returns to his office, a giant robotic man with a boy on his back crashes in, asking for help. While Juuzou could just turn the guy in and be done with it, something about this situation is too fishy to ignore. It seems that everyone wants hold of this kid and, whether he likes it or not, Juuzou must find out why this Extended is on the run, how it connects to the Berühren Corporation, and just how far the treachery runs in this city."
Pokemon:Zoroark:Master of Illusions,6.89,"Action,Adventure,Fantasy,Kids",Movie,1,"VIZ Media, Studio Jack",OLM,Game,1 hr. 36 min.,PG - Children,"The shapeshifting Pokémon Zorua and Zoroark are captured by a mysterious group intent on using their illusory powers for their own gain. They unleash Zoroark on Crown City, forcing her beforehand to take the form of Suicune, Entei, and Raikou, the guardians of the town. As Satoshi and his companions visit Crown City to watch the much-anticipated Pokémon Baccer World Cup, they encounter Zorua, who managed to escape captivity. At the same time, Zoroark goes on a rampage, unaware of Zorua's breakout. Disguised as the Legendary Beast Trio, she starts destroying the city and terrorizing its inhabitants. Will Satoshi manage to stop the deranged Pokémon before Crown City perishes? Will the sudden arrival of long-unseen Celebi change the outcome of the seemingly inevitable clash between Zoroark and the impersonated Legendary Beasts?"
RIN-NE,6.89,"Comedy,Supernatural,Romance,School,Shounen",TV,25,"Shogakukan-Shueisha Productions, NHK, Shogakukan",Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"very strange thing happened to Mamiya Sakura as a child: She disappeared in the woods behind her grandmother's house. Of course, Sakura doesn't quite recall what happened next, but she's been seeing dead people ever since—ghosts at home, ghosts at school, and even ghosts on the street. Now that she's in high school, another strange thing has happened in her life. A desk next to her that's sat empty all year is suddenly filled by an oddly-dressed boy named Rokudou Rinne. Rinne seems to be capable of seeing the same things Sakura does, and sometimes, other people can't even see him . What sort of secret is Rinne-kun hiding, and how is he connected to Sakura's strange power? In Kyoukai no Rinne , another world exists alongside the one we live in. Thanks to Rinne, Mamiya Sakura will get to know this world and the wacky characters that inhabit it."
Zombie-Loan,6.89,"Action,Horror,Shounen,Supernatural",TV,11,Nihon Ad Systems,Xebec,Manga,23 min. per ep.,R - 17+ (violence & profanity),"Do you know when you are going to die? Michiru Kita does, as she has the ability to see a ""ring of death"" on the necks of those around her—and the darker the ring, the closer one is to death. One day, she notices that two boys in her class, Chika Akatsuki and Shito Tachibana, have completely black rings. Seeking to warn them of their impending demise, she stumbles onto their secret: they are already dead, but are kept alive due to a contract with Zombie-Loan, a mysterious loan office. Of course, nothing comes without a price, as the boys must hunt down and kill zombies in order to pay off their debt. And once they learn about Michiru's ""Shinigami Eyes,"" they drag her into their crazy world."
Aria the Scarlet Ammo,6.88,"Action,Comedy,Romance,School",TV,12,"TBS, Magic Capsule, flying DOG",J.C.Staff,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,"In response to the worsening crime rate, Japan creates Tokyo Butei High, an elite academy where ""Butei"" or armed detectives hone their deadly skills in hopes of becoming mercenary-like agents of justice. One particular Butei is Kinji Tooyama, an anti-social and curt sophomore dropout who was once a student of the combat-centric Assault Division. Kinji now lives a life of leisure studying logistics in order to cover up his powerful but embarrassing special ability. However, his peaceful days soon come to an end when he becomes the target of the infamous ""Butei Killer,"" and runs into an emotional hurricane and outspoken prodigy of the highest rank, Aria Holmes Kanzaki, who saves Kinji's life and demands that he become her partner after seeing what he is truly capable of."
Kiddy Girl-AND,6.88,"Action,Comedy,Sci-Fi,Super Power",TV,24,"Kadokawa Shoten, gimik",Satelight,Original,25 min. per ep.,PG-13 - Teens 13 or older,"Twenty-five years after Éclair and Lumière, (from the flagship Kiddy Grade series), rescued the galaxy from destruction's doorstep, the GTO (Galactic Trade Organization), created after the defeat of the GOTT (Galactic Organization of Trade and Tariffs), act on behalf of universal peace by combating criminal activity. Their special ES division mirrored after the GOTT's ES (Encounter of Shadow-work) force, now includes publicly acknowledged ES member candidates. The series follows two such trainees, Ascoeur and Q-feuille, as they work their way to ES membership. (Source: Wikipedia)"
Loving Angel Angelique:When Hearts Awaken,6.88,"Adventure,Comedy,Drama,Fantasy,Magic,Romance,Sci-Fi,Shoujo",TV,13,"Lantis, Media Factory, Koei",Satelight,Game,23 min. per ep.,PG-13 - Teens 13 or older,"oung girl named Ange is summoned to a Sacred Land and is chosen as the Legendary Etoile, whose mission is to save the newly-born Cosmos of the Holy Beast, which has recently fallen under a crisis. With the support of nine Guardians (who have the power of nine elements), she embarks on a journey to save the dying land of the Holy Beast and to discover her true self. (Source: ANN)"
Night Raid 1931,6.88,"Action,Military,Historical,Super Power",TV,13,"TV Tokyo, Aniplex",A-1 Pictures,Original,23 min. per ep.,R - 17+ (violence & profanity),"The year is 1931. The city is Shanghai. Ten years before America will enter World War II, the hydra's teeth planted by the first great global conflict are beginning to germinate. Hatching like spiders, they weave the complex web of plots and conspiracies destined to inevitably draw entire nations to the brink of destruction. Caught in the heart of these webs, desperately seeking to separate lies from truth, is ""Sakurai Kikan,"" an ultra-secret intelligence agency staffed by extraordinarily talented individuals with abilities far beyond those of normal humans. Their duty: to stop the darkest plots and eliminate the greatest threats. But in a city built on intrigue, can even a team of clairvoyants, telepaths and espers stand against the ultimate forces of destiny? (Source: Sentai Filmworks)"
Please Twins,6.88,"Comedy,Drama,Harem,School,Sci-Fi",TV,12,"Bandai Visual, Genco, Lantis",Daume,Original,25 min. per ep.,PG-13 - Teens 13 or older,"aiku Kamishiro's past has always been somewhat of a mystery to him. The only clue he has to who his family might be is an old photograph showing two young children, a boy and a girl, playing in a small pool outside of a blue house. In an attempt to find his family, he moves to this blue house and begins working as a programmer. He's living a comfortable life until the day two very different girls show up at his door, both in possession of the same photograph, and both claiming to be his twin. With no way to prove who is a relative and who is a stranger, Maiku allows both girls to move in with him until they know for sure. (Source: ANN)"
Sadamitsu the Destroyer,6.88,"Action,Mecha,School,Sci-Fi,Seinen",TV,10,Aniplex,Studio Deen,Manga,22 min. per ep.,R - 17+ (violence & profanity),"Sadamitsu, a high-school delinguents turned to a masked-hero, while not dealing with his rocky relationship with the strong female protagonist, he puts on a motorcycle-helmet-like mask and becomes a semi-robotic superhero who fights. He is assisted by other possibly- mechanical creatures in order to save the earth from the invasion of 20,000,000 escaped alien convicts. (Source: AniDB)"
Sakura Wars,6.88,"Adventure,Mecha,Sci-Fi,Shounen",TV,25,"TBS, Sega, Imagine",Madhouse,Game,24 min. per ep.,PG-13 - Teens 13 or older,"Sakura travels to the capital with aspirations of defending the city from the demonic forces of the Black Sanctum Council like her father before her. However, things are not as she imagined as in addition to using her great spiritual energy to pilot a mech called a Kobu, she must also perform on stage as an actor as The Imperial Flower Division's cover is an art theater. Making a fool of herself and ruining a production gets her on everyone's bad side and somehow she must learn to work with them as well as prevent the enemy from destroying several shrines which protect the city. (Source: ANN)"
Angels of Death,6.87,"Adventure,Horror,Psychological,Thriller",TV,16,"Lantis, AT-X, KBS, Kadokawa",J.C.Staff,Game,23 min. per ep.,R - 17+ (violence & profanity),"h dead and lifeless eyes, Rachel Gardner wishes only to die. Waking up in the basement of a building, she has no idea how or why she's there. She stumbles across a bandaged murderer named Zack, who is trying to escape. After promising to kill her as soon as he is free, Rachel and Zack set out to ascend through the building floor by floor until they escape. However, as they progress upward, they meet more twisted people, and all of them seem familiar with Rachel. What is her connection to the building, and why was she placed in it? Facing a new boss on each floor, can Rachel and Zack both achieve their wishes?"
Dagashi Kashi 2,6.87,"Slice of Life,Comedy,Shounen",TV,12,"Pony Canyon, TBS, Shogakukan, Lawson, Pony Canyon Enterprise",Tezuka Productions,Manga,12 min. per ep.,PG-13 - Teens 13 or older,Second season of Dagashi Kashi .
Destiny of the Shrine Maiden,6.87,"Supernatural,Drama,Magic,Romance,Mecha,Shounen,Shoujo Ai",TV,12,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment",TNK,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Kannazuki no Miko begins in the village of Mahoroba, where time passes slowly for both man and nature. Two students from the village's prestigious Ototachibana Academy might as well be night and day. Himeko is shy and unassertive, while Chikane is bold and elegant. Despite this, they love each other, and nothing can come between them, no matter how hard they try. On the two girls' shared birthday, a sinister voice corrupts one of their friends into attacking them, and just when it seemed grimmest, the lunar and solar priestess powers that lay dormant in the two girls awaken, dispelling the evil. That was only the first hurdle, however. The two must now fend off the countless others who would threaten their well-being—even the people closest to them!"
Double Decker! Doug & Kirill,6.87,"Action,Sci-Fi,Comedy,Police",TV,13,Lantis,Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),"The once peaceful city-state of Lisvalletta has found itself beset by a dangerous new drug called Anthem. The side effects of the drug allow the user to enter a state of Overdrive, wherein they mutate into superpowered beasts with inhuman abilities. With the police powerless to stop this new threat, the responsibility falls upon the Special Crime Investigation Unit SEVEN-O. To offset the dangers of this work, the investigators work under the patented ""Double Decker"" system, which requires them to team up in ""buddy cop"" pairs. As a child, average police officer Kirill Vrubel fantasized about being a hero who would save his school from a random terrorist attack. His chance to be a hero arrives when his landlady blackmails him into searching for her lost cat. Upon arriving and falling asleep in an abandoned warehouse, Kirill finds himself in the middle of a hostage situation involving an Anthem user. By teaming up with SEVEN-O detective Douglas ""Doug"" Bilingam, Kirill earns his spot as the newest member of SEVEN-O. Now, with the help of this secret organization, he may finally achieve his dream of becoming a hero."
Jubei-chan 2:The Counterattack of Siberia Yagyu,6.87,"Adventure,Comedy,Drama,Martial Arts,Samurai,Shounen",TV,13,TV Tokyo Music,Madhouse,Original,25 min. per ep.,PG-13 - Teens 13 or older,"Three hundred years ago, in the frigid land of Siberia, Jubei Yagyu engaged in a fierce battle with Kitaretsusai of the Northern Yagyu clan. The duel was costly, as his daughter Freesia was frozen in suspended animation. As a result of global warming in the present day, Freesia breaks free from her icy grave and moves to Japan as a middle school transfer student, where she befriends Jiyuu Nanohana. Little does Jiyuu know that Freesia is targeting her to acquire the coveted Lovely Eye Patch, which Freesia believes is rightfully hers. (Source: ANN)"
Kill Me Baby,6.87,"Comedy,School,Seinen",TV,13,"Pony Canyon, TBS, Magic Capsule",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,"Kill Me Baby is the touching story of Yasuna, a normal (?) high school girl, and Sonya, her best friend who happens to be an assassin. Unfortunately, little Sonya's trained assassin instincts often work against her and others in her daily high school life, as Yasuna's often-broken wrist can attest to. She just wanted a hug, but she ended up with a broken neck. Isn't it sad? No, it's hilarious. Not even Yasuna's intense ninja training can prepare her for the exciting adventures in this explosive 4-panel manga adaptation."
Little Baldy Hagemaru,6.87,"Kids,Comedy",TV,59,TV Asahi,Shin-Ei Animation,4-koma manga,24 min. per ep.,PG - Children,"Hagemaru Hageda is a young kid, studying in fourth standard living with his parents in Japan. Only child of his parents, he and his parents are a big misers. They do anything for saving money and this is the basic plot of the show. Hagemaru also has a pet dog named Pesu, who often comments about Hagemaru's family being too miser and not giving him anything to eat. He is best friend of his class-mate Masaru Kondo and he has a crush on Midori, a girl from his class. In most of the episodes, Hagemaru goes to school and the story revolves around his teacher (his 'miss') and his friends. At the end of the each episode, top ten snippets are shown."
Magic of Stella,6.87,"Game,Slice of Life,Comedy,School",TV,12,"Kadokawa Shoten, AT-X, flying DOG, Houbunsha, Hakuhodo DY Music & Pictures",SILVER LINK.,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,"Upon enrolling in high school, Tamaki Honda joins a club for making doujin games known as the SNS Club. Joined by programmer Shiina, writer Ayame, and composer Kayo, Tamaki begins working as an illustrator for the club's next game. (Source: Wikipedia)"
Radiant,6.87,"Action,Adventure,Fantasy,Magic",TV,21,"Studio Hibari, NHK, NHK Enterprises",Lerche,Other,24 min. per ep.,PG-13 - Teens 13 or older,"Nemeses—powerful and mysterious demonic entities that fall from the sky and vaporize anything they touch. The only ones who can combat these creatures are Sorcerers, those who have survived an encounter with a Nemesis but were infected in the process. Seth, a Sorcerer from Pompo Hills, sets out on an adventure to exterminate all these Nemeses. Accompanying him are Doc and Mélie, fellow Sorcerers who share his ideal. Their main objective is to bring about a world where Sorcerers are no longer persecuted for being infected, and to that end, desire to destroy the source of the Nemeses themselves: the mythical Radiant."
Sengoku BASARA:End of Judgement,6.87,"Action,Super Power,Martial Arts,Samurai,Historical",TV,12,"VAP, Nippon Television Network",Telecom Animation Film,Game,24 min. per ep.,PG-13 - Teens 13 or older,"Based on CAPCOM's 2010 game Sengoku Basara 3 (Sengoku Basara: Samurai Heroes), Sengoku Basara: Judge End will depict the epic Battle of Sekigahara. (Source: ANN)"
